Zone,Type,Delivery Interval,Dollars per MW
Michigan,30R,2019-04-13 09:55:00,0.45
Michigan,Energy,2019-04-13 09:60:00,11.87
Michigan,10N,2019-04-13 09:60:00,0.45
Michigan,30R,2019-04-13 09:60:00,0.45
Minnesota,Energy,2019-04-13 09:05:00,13.36
Minnesota,10N,2019-04-13 09:05:00,0.45
Minnesota,30R,2019-04-13 09:05:00,0.45
Minnesota,Energy,2019-04-13 09:10:00,13.36
Minnesota,10N,2019-04-13 09:10:00,0.45
Minnesota,30R,2019-04-13 09:10:00,0.45
Minnesota,Energy,2019-04-13 09:15:00,13.36
Minnesota,10N,2019-04-13 09:15:00,0.45
Minnesota,30R,2019-04-13 09:15:00,0.45
Minnesota,Energy,2019-04-13 09:20:00,13.34
Minnesota,10N,2019-04-13 09:20:00,0.45
Minnesota,30R,2019-04-13 09:20:00,0.45
Minnesota,Energy,2019-04-13 09:25:00,13.34
Minnesota,10N,2019-04-13 09:25:00,0.45
Minnesota,30R,2019-04-13 09:25:00,0.45
Minnesota,Energy,2019-04-13 09:30:00,13.26
Minnesota,10N,2019-04-13 09:30:00,0.45
Minnesota,30R,2019-04-13 09:30:00,0.45
Minnesota,Energy,2019-04-13 09:35:00,13.34
Minnesota,10N,2019-04-13 09:35:00,0.45
Minnesota,30R,2019-04-13 09:35:00,0.45
Minnesota,Energy,2019-04-13 09:40:00,13.26
Minnesota,10N,2019-04-13 09:40:00,0.45
Minnesota,30R,2019-04-13 09:40:00,0.45
Minnesota,Energy,2019-04-13 09:45:00,13.26
Minnesota,10N,2019-04-13 09:45:00,0.45
Minnesota,30R,2019-04-13 09:45:00,0.45
Minnesota,Energy,2019-04-13 09:50:00,13.26
Minnesota,10N,2019-04-13 09:50:00,0.45
Minnesota,30R,2019-04-13 09:50:00,0.45
Minnesota,Energy,2019-04-13 09:55:00,13.26
Minnesota,10N,2019-04-13 09:55:00,0.45
Minnesota,30R,2019-04-13 09:55:00,0.45
Minnesota,Energy,2019-04-13 09:60:00,13.23
Minnesota,10N,2019-04-13 09:60:00,0.45
Minnesota,30R,2019-04-13 09:60:00,0.45
New York,Energy,2019-04-13 09:05:00,24
New York,10N,2019-04-13 09:05:00,0.45
New York,30R,2019-04-13 09:05:00,0.45
New York,Energy,2019-04-13 09:10:00,24
New York,10N,2019-04-13 09:10:00,0.45
New York,30R,2019-04-13 09:10:00,0.45
New York,Energy,2019-04-13 09:15:00,24
New York,10N,2019-04-13 09:15:00,0.45
New York,30R,2019-04-13 09:15:00,0.45
New York,Energy,2019-04-13 09:20:00,23.98
New York,10N,2019-04-13 09:20:00,0.45
New York,30R,2019-04-13 09:20:00,0.45
New York,Energy,2019-04-13 09:25:00,23.98
New York,10N,2019-04-13 09:25:00,0.45
New York,30R,2019-04-13 09:25:00,0.45
New York,Energy,2019-04-13 09:30:00,23.9
New York,10N,2019-04-13 09:30:00,0.45
New York,30R,2019-04-13 09:30:00,0.45
